;Andromeda - Taklampa;Pris 26;Nytt pris
36061-01S-000;Vit strukturlack RAL 9016;10200;
36061-15S-000;Svart strukturlack RAL 9005;10200;
36061-55-000;Rå stål;9973;
36061-69-000;Rå koppar;11857;
36061-70-000;Förnicklad mässing;14626;
36061-72-000;Rå mässing;12692;
PPP35-3000;Förnicklat mässingsomtag med 3 meter vajer (per 2 st);971;
PPP30-3000;Kopparomtag med 3 meter vajer (per 2 st);580;
PPP36-3000;Mässingsomtag med 3 meter vajer (per 2 st);824;
;;;
;Starlight - Taklampa · Vägglampa;;
;Ø100cm;;
36391-01S-000;Vit strukturlack RAL 9016;26095;
36391-15S-000;Svart strukturlack RAL 9005;26095;
36391-55-000;Rå stål;26825;
36391-69-000;Rå koppar;32976;
36391-70-000;Förnicklad mässing;38887;
36391-72-000;Rå mässing;35387;
;;;
;Ø60cm;;
36390-01S-000;Vit strukturlack RAL 9016;17899;
36390-15S-000;Svart strukturlack RAL 9005;17899;
36390-55-000;Rå stål;18454;
36390-69-000;Rå koppar;22896;
36390-70-000;Förnicklad mässing;27089;
36390-72-000;Rå mässing;24604;
;;;
;Starlight - Taklampa · Vägglampa;;
;Fast montage;;
36392F01S-000;Vit strukturlack RAL 9016;2611;
36392F15S-000;Svart strukturlack RAL 9005;2611;
36392F55-000;Rå stål;2706;
36392F69-000;Rå koppar;3143;
36392F70-000;Förnicklad mässing;3886;
36392F72-000;Rå mässing;3424;
;;;
;Utvändig kabel;;
36392-01S-000;Vit strukturlack RAL 9016;3383;
36392-15S-000;Svart strukturlack RAL 9005;3383;
36392-55-000;Rå stål;3520;
36392-69-000;Rå koppar;3921;
36392-70-000;Förnicklad mässing;4770;
36392-72-000;Rå mässing;4296;
;;;
;Starlight - Taklampa · Vägglampa;;
;Fast montage med platta;;
36393F01S-000;Vit strukturlack RAL 9016;2175;
36393F15S-000;Svart strukturlack RAL 9005;2175;
36393F55-000;Rå stål;2251;
36393F69-000;Rå koppar;2611;
36393F70-000;Förnicklad mässing;3239;
36393F72-000;Rå mässing;2810;
;;;
;Starlight - Taklampa;;
;Pendel;;
35399-01S-000;Vit strukturlack RAL 9016;2416;
35399-15S-000;Svart strukturlack RAL 9005;2416;
35399-55-000;Rå stål;2512;
35399-69-000;Rå koppar;2914;
35399-70-000;Förnicklad mässing;3624;
35399-72-000;Rå mässing;3134;
;;;
;Streck - Vägglampa;;
;Fast montage med kopplingshus;;
30922F01-000;Vit RAL 9016;3524;
30922F02-000;Varmgrå RAL 7032;3524;
30922F13-000;Tallgrön RAL 6028;3524;
30922F15-000;Svart RAL 9005;3524;
;;;
;Streck - Bordslampa;;
38921-01-000;Vit RAL 9016;3801;
38921-02-000;Varmgrå RAL 7032;3801;
38921-13-000;Tallgrön RAL 6028;3801;
38921-15-000;Svart RAL 9005;3801;
;;;
;Streck - Vägglampa;;
;Utvändig kabel;;
30921-01-000;Vit RAL 9016;3621;
30921-02-000;Varmgrå RAL 7032;3621;
30921-13-000;Tallgrön RAL 6028;3621;
30921-15-000;Svart RAL 9005;3621;
;;;
;Fast montage;;
30921F01-000;Vit RAL 9016;3440;
30921F02-000;Varmgrå RAL 7032;3440;
30921F13-000;Tallgrön RAL 6028;3440;
30921F15-000;Svart RAL 9005;3440;
;;;
;Streck - Golvlampa;;
39921-01-000;Vit RAL 9016;4339;
39921-02-000;Varmgrå RAL 7032;4339;
39921-13-000;Tallgrön RAL 6028;4339;
39921-15-000;Svart RAL 9005;4339;
;;;
;Streck - Taklampa;;
;Stor;;
35923-01-000;Vit RAL 9016;5117;
35923-02-000;Varmgrå RAL 7032;5117;
35923-13-000;Tallgrön RAL 6028;5117;
35923-15-000;Svart RAL 9005;5117;
35923-25-000;Borstad mässing;7051;
;;;
;Liten;;
35924-01-000;Vit RAL 9016;4139;
35924-02-000;Varmgrå RAL 7032;4139;
35924-13-000;Tallgrön RAL 6028;4139;
35924-15-000;Svart RAL 9005;4139;
35924-25-000;Borstad mässing;5086;
;;;
;Streck - Vägglampa;;
;Fast montage med platta;;
30925F01-000;Vit RAL 9016;4056;
30925F15-000;Svart RAL 9005;4056;
30925F02-000;Varmgrå RAL 7032;4056;
30925F13-000;Tallgrön RAL 6028;4056;
;;;
;Utvändig kabel;;
30925-01-000;Vit RAL 9016;4212;
30925-15-000;Svart RAL 9005;4212;
30925-02-000;Varmgrå RAL 7032;4212;
30925-13-000;Tallgrön RAL 6028;4212;
;;;
;Streck - Vägglampa;;
;Fast montage med kopplingshus;;
30926F01-000;Vit RAL 9010;4150;
30926F15-000;Svart RAL 9005;4150;
30926F02-000;Varmgrå RAL 7032;4150;
30926F13-000;Tallgrön RAL 6028;4150;
;;;
;Stripe - Vägglampa · Badrumslampa;;
;Stor;;
30006F72-000-D;Rå mässing;7817;
;;;
;Liten;;
30007F72-000-D;Rå mässing;5720;
;;;
;Sun - Vägglampa · Badrumslampa;;
30983F01S-000-N;Vit strukturlack RAL 9016;3359;
30983F15S-000-N;Svart strukturlack RAL 9005;3359;
30983F72-000-N;Rå mässing;3999;
30983F69-000-N;Rå koppar;3869;
;;;
;Talk - Golvlampa;;
